,Authors,Quotes,Likes,tags
10,Franklin D. Roosevelt,“I ask you to judge me by the enemies I have made.”,952,"['enemies,', 'friendship,', 'judgement']"
11,"J.K. Rowling,","“I have one last hope for you, which is something that I already had at 21. The friends with whom I sat on graduation day have been my friends for life. They are my children’s godparents, the people to whom I’ve been able to turn in times of trouble, friends who have been kind enough not to sue me when I’ve used their names for Death Eaters. At our graduation we were bound by enormous affection, by our shared experience of a time that could never come again, and, of course, by the knowledge that we held certain photographic evidence that would be exceptionally valuable if any of us ran for Prime Minister.”",945,"['friendship,', 'harvard-commencement-speech']"
12,"Nina LaCour,",“I don't want to hurt you or anybody so please forget about me. Just try. Find yourself a better friend.”,938,"['friendship,', 'hurt,', 'love,', 'suicide,', 'suicide-note']"
13,"Tennessee Williams,","“Time doesn't take away from friendship, nor does separation.”",931,"['friendship,', 'seperation,', 'time']"
14,"Carlos Ruiz Zafón,",“I don't suppose you have many friends. Neither do I. I don't trust people who say they have a lot of friends. It's a sure sign that they don't really know anyone.”,929,"['friends,', 'friendship']"
15,Fred Rogers,"“Anything that’s human is mentionable, and anything that is mentionable can be more manageable. When we can talk about our feelings, they become less overwhelming, less upsetting, and less scary. The people we trust with that important talk can help us know that we are not alone.”",888,"['communication,', 'fear,', 'friendship,', 'inspirational,', 'trauma,', 'trust']"
16,Charles M. Schulz,"“Are you upset little friend? Have you been lying awake worrying? Well, don't worry...I'm here. The flood waters will recede, the famine will end, the sun will shine tomorrow, and I will always be here to take care of you.”",886,"['faith,', 'friendship,', 'loneliness,', 'love']"
17,Jim Morrison,“A friend is someone who gives you total freedom to be yourself.”,882,"['freedom,', 'friendship,', 'jim-morrison']"
18,"J.K. Rowling,","“You think I'm a fool?"" demanded Harry.",873,"['friendship,', 'james-potter,', 'loyalty,', 'trust']"
19,"Ralph Waldo Emerson ,","“A friend is a person with whom I may be sincere. Before him I may think aloud. I am arrived at last in the presence of a man so real and equal, that I may drop even those undermost garments of dissimulation, courtesy, and second thought, which men never put off, and may deal with him with the simplicity and wholeness with which one chemical atom meets another.”",868,"['friends,', 'friendship,', 'trust']"
20,Plutarch,“I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.”,868,['friendship']
21,"Baltasar Gracian,",“A wise man gets more use from his enemies than a fool from his friends.”,864,"['advice,', 'enemies,', 'foolishness,', 'friends,', 'friendship,', 'strategy,', 'war,', 'wisdom']"
22,Elizabeth Barrett Browning,“No man can be called friendless who has God and the companionship of good books.”,862,"['books,', 'companionship,', 'friends,', 'friendship,', 'god,', 'reading,', 'religion']"
23,"Rainer Maria Rilke,",“I hold this to be the highest task of a bond between two people: that each should stand guard over the solitude of the other.”,859,"['bonds,', 'friendship,', 'solitude']"
24,"Arthur Conan Doyle,","“Watson. Come at once if convenient. If inconvenient, come all the same.”",847,"['convenience,', 'exigence,', 'favor,', 'friends,', 'friendship']"
25,"Stephen Chbosky,","“If you care about somebody, you should want them to be happy. Even if you wind up being left out.”",845,['friendship']
26,"Sarah Dessen,","“Two a.m.' He swallowed, then said, ""You know. The person you can call at two a.m. and, no matter what, you can count on them. Even if they're asleep or it's cold or you need to be bailed out of jail...they'll come for you. It's like, the highest level of friendship.”",827,['friendship']
27,Bernard Meltzer,“A true friend is someone who thinks that you are a good egg even though he knows that you are slightly cracked.”,811,['friendship']
28,"Stephen Chbosky,",“Sam and Patrick looked at me. And I looked at them. And I think they knew. Not anything specific really. They just knew. And I think that's all you can ever ask from a friend.”,808,"['chbosky,', 'friendship']"
29,"Hanya Yanagihara,",“He experienced the singular pleasure of watching people he loved fall in love with other people he loved.”,790,"['friendship,', 'love']"
0,"J.R.R. Tolkien,","“But it does not seem that I can trust anyone,' said Frodo.",758,"['friendship,', 'loyalty,', 'trust']"
1,Lois Wyse,"“A good friend is a connection to life - a tie to the past, a road to the future, the key to sanity in a totally insane world.”",728,['friendship']
